大分類,項目,補足,重要度,頻度,差分
基盤設定,メインカテゴリの選定,競合調査ツールで上位店を分析し1つに絞る,A,初期設定,
基盤設定,サブカテゴリの網羅,最大9個まで関連業種をすべて埋める,A,初期設定,
基盤設定,NAPの表記統一,社名・住所・電話番号を各サイトで1文字違わず統一,A,初期設定→年1回見直し,
基盤設定,属性(Attributes)の全埋め,オンライン相談可など全フラグを確認,B,初期設定→四半期見直し,
基盤設定,ビジネス説明文(750字)の最適化,キーワード×地名×特徴を含める。空欄禁止,A,初期設定→半年見直し,追加
基盤設定,営業時間の特別設定,祝日・年末年始・GW等の特別営業日を登録,A,随時,追加
構造化・計測,JSON-LDの高度化,sameAsにGBPのプロフィールURLを記述,B,初期設定,
構造化・計測,「サービス」の構造化登録,メニューから個別サービスと説明文を入力,A,初期設定→新サービス追加時,
構造化・計測,UTM付きURLの設定,GA4計測用のパラメータをウェブサイトURLに付与,B,初期設定,
構造化・計測,セルフQ&Aの作成,自問自答でナレッジパネルを充実させる,B,初期5問→月1問追加,
コンテンツ,写真の追加,外観・内観・作業風景など多様性を意識,A,月2〜4枚,
コンテンツ,「最新情報」の投稿,実績報告・イベント・オファーの使い分け,B,月2回〜,
コンテンツ,動画コンテンツ追加,短尺30秒〜の動画を投稿,C,月1回,追加
評判,レビュー獲得フローの実行,納品時などの依頼をルーティン化,A,常時,
評判,キーワード入り返信,口コミに対し地名や技術名を含めて返信,B,口コミ着信時,
運用・モニタリング,インサイト確認＆改善ループ,検索クエリ・電話タップ・経路検索数を分析,B,月1回,追加
運用・モニタリング,ユーザー修正提案の監視,第三者の情報書換えを確認・拒否,B,月1回,追加
運用・モニタリング,メッセージング機能のON,問い合わせを受けられる導線,C,初期設定,追加
外部,外部プラットフォーム登録,Apple/Bing Maps・エキテン・法人名鑑など,C,初期設定,
業種特有(歯科),診療科目の明記,一般/小児/矯正/インプラント/口腔外科等,A,初期設定,追加
業種特有(歯科),保険診療/自費診療の明示,料金や対応範囲を明示。離脱要因No.1,A,初期設定,追加
業種特有(歯科),予約システムの連携,EPARK等の予約システムをGBPに連携,A,初期設定,追加
業種特有(歯科),設備写真の充実,個室・キッズスペース・滅菌器など衛生意識訴求,B,初期+四半期,追加
業種特有(歯科),院長プロフィール/スタッフ紹介,信頼性訴求,B,初期+人事異動時,追加
